Nom,Prenom,Date du dernier achat,date de fin,Distance date,R,Nombre d'achats (12 derniers mois),F,Montant total des achats (€),M,"RFMscore
"
Fernandes,Louis,4/9/2025,6/16/2025,68,5,15,4,858.73,4,544
Colas,Lucas,3/14/2025,6/16/2025,94,4,15,4,318.71,4,444
Colin,André,12/30/2024,6/16/2025,168,3,19,5,479.65,5,355
Carre,Alex,5/7/2025,6/16/2025,40,5,1,1,77.97,1,511
Boutin,Jacqueline,4/16/2025,6/16/2025,61,5,12,4,626.88,4,544
Gilbert,Sophie,7/7/2024,6/16/2025,344,1,12,4,901.98,4,144
Laporte,Clémence,12/22/2024,6/16/2025,176,3,8,3,309.29,3,333
Dufour,Patrick,12/3/2024,6/16/2025,195,3,4,2,155.67,2,322
Gaillard,Fran?ois,7/4/2024,6/16/2025,347,1,18,5,1690.8,5,155
Martel,Claude,1/14/2025,6/16/2025,153,3,11,3,349.32,3,333
Roux,élodie,2/11/2025,6/16/2025,125,4,11,3,516.93,3,433
Leleu,Amélie,7/24/2024,6/16/2025,327,1,12,4,1198.34,4,144
Blin,Valérie,12/9/2024,6/16/2025,189,3,11,3,223.56,3,333
Cohen,Maggie,10/20/2024,6/16/2025,239,2,5,2,108.68,2,222
Lenoir,Robert,2/7/2025,6/16/2025,129,4,19,5,1199.02,5,455
Fournier,Marcel,7/19/2024,6/16/2025,332,1,4,2,143.33,2,122
Mendès,Michel,4/13/2025,6/16/2025,64,5,12,4,512.39,4,544
Fischer,Chantal,10/23/2024,6/16/2025,236,2,19,5,1112.87,5,255
Bègue,Gabrielle,8/17/2024,6/16/2025,303,1,7,2,241.75,2,122
Hamel,Alain,2/16/2025,6/16/2025,120,4,9,3,373.11,3,433
Ferrand,Pauline,3/14/2025,6/16/2025,94,4,20,5,403.45,5,455
Meyer,Louis,7/14/2024,6/16/2025,337,1,9,3,576.07,3,133
Merle,Andrée,10/13/2024,6/16/2025,246,2,12,4,477.2,4,244
Garnier,Ana?s,10/28/2024,6/16/2025,231,2,8,3,200.85,3,233
Lagarde,Thibault,10/22/2024,6/16/2025,237,2,10,3,800.73,3,233
Schneider,Marine,3/12/2025,6/16/2025,96,4,10,3,446.26,3,433
Rousseau,Dorothée,11/25/2024,6/16/2025,203,3,3,1,195.71,1,311
Lebreton,Bernard,10/21/2024,6/16/2025,238,2,12,4,1078.15,4,244
Riou,Raymond,12/2/2024,6/16/2025,196,3,5,2,302.68,2,322
Couturier,Fran?ois,4/7/2025,6/16/2025,70,5,18,5,788.88,5,555
Gallet,Sabine,3/11/2025,6/16/2025,97,4,4,2,243.79,2,422
Le Goff,Marianne,8/7/2024,6/16/2025,313,1,4,2,146.98,2,122
Joubert,Bernard,12/13/2024,6/16/2025,185,3,13,4,277.22,4,344
Blin,Bernard,1/19/2025,6/16/2025,148,3,18,5,790.37,5,355
Teixeira,Susan,3/30/2025,6/16/2025,78,5,4,2,156.63,2,522
Marion,Matthieu,11/3/2024,6/16/2025,225,2,3,1,96.86,1,211
Legrand,Olivier,11/1/2024,6/16/2025,227,2,12,4,609.11,4,244
Le Gall,Sophie,6/25/2024,6/16/2025,356,1,16,4,1575.53,4,144
Laurent,Denis,8/24/2024,6/16/2025,296,1,5,2,456.95,2,122
Andre,Sylvie,7/7/2024,6/16/2025,344,1,7,2,542.05,2,122
Legendre,Gilles,10/8/2024,6/16/2025,251,2,6,2,142.58,2,222
Olivier,Théophile,8/9/2024,6/16/2025,311,1,12,4,622.54,4,144
Potier,Patricia,3/1/2025,6/16/2025,107,4,11,3,642.26,3,433
Chevalier,No?l,5/25/2025,6/16/2025,22,5,2,1,70.98,1,511
Guillet,Sylvie,5/21/2025,6/16/2025,26,5,18,5,470.05,5,555
Le Roux,Aimée,11/28/2024,6/16/2025,200,3,20,5,1629.51,5,355
Lebreton,Marie,6/3/2025,6/16/2025,13,5,18,5,1652.84,5,555
Garcia,Bernadette,1/21/2025,6/16/2025,146,3,2,1,72.05,1,311
Camus,Alain,3/20/2025,6/16/2025,88,4,20,5,508.47,5,455
Wagner,Xavier,3/1/2025,6/16/2025,107,4,18,5,430.35,5,455
Berger,Pauline,2/25/2025,6/16/2025,111,4,11,3,533.79,3,433
Chauvet,éléonore,11/17/2024,6/16/2025,211,2,2,1,40.19,1,211
Benard,Clémence,10/18/2024,6/16/2025,241,2,6,2,277.62,2,222
Legendre,Charles,2/15/2025,6/16/2025,121,4,9,3,763.91,3,433
Nicolas,Nathalie,9/9/2024,6/16/2025,280,1,2,1,196.47,1,111
Lecoq,édouard,3/25/2025,6/16/2025,83,4,10,3,544.52,3,433
Bègue,Frédéric,1/4/2025,6/16/2025,163,3,17,5,1663.4,5,355
Pereira,Laurent,2/11/2025,6/16/2025,125,4,19,5,1677.82,5,455
Lopez,Tristan,6/17/2024,6/16/2025,364,1,18,5,1719.82,5,155
Voisin,Jér?me,9/13/2024,6/16/2025,276,2,8,3,501.18,3,233
Joseph,Célina,2/8/2025,6/16/2025,128,4,16,4,1277.29,4,444
Lopez,William,6/3/2025,6/16/2025,13,5,11,3,418.91,3,533
Masse,Stéphane,3/16/2025,6/16/2025,92,4,7,2,272.91,2,422
Munoz,Marcel,12/13/2024,6/16/2025,185,3,17,5,1020.8,5,355
Texier,Victoire,9/24/2024,6/16/2025,265,2,15,4,939.07,4,244
Duhamel,Claudine,9/12/2024,6/16/2025,277,2,18,5,1547.79,5,255
Hardy,Agnès,7/11/2024,6/16/2025,340,1,8,3,347.37,3,133
Clerc,Jeannine,8/1/2024,6/16/2025,319,1,14,4,1394.83,4,144
Garnier,Agathe,5/24/2025,6/16/2025,23,5,19,5,568.22,5,555
Berthelot,William,6/4/2025,6/16/2025,12,5,19,5,1236.98,5,555
Alexandre,Agnès,2/20/2025,6/16/2025,116,4,5,2,469.05,2,422
Martin,Mathilde,6/24/2024,6/16/2025,357,1,18,5,384.16,5,155
Bruneau,Richard,11/24/2024,6/16/2025,204,3,10,3,265.64,3,333
Pereira,Guy,12/1/2024,6/16/2025,197,3,8,3,531.97,3,333
Dubois,Daniel,12/31/2024,6/16/2025,167,3,10,3,704.05,3,333
Gaillard,Agnès,12/19/2024,6/16/2025,179,3,13,4,677.35,4,344
Munoz,Lucas,4/8/2025,6/16/2025,69,5,15,4,1366.21,4,544
Hervé,Maurice,9/21/2024,6/16/2025,268,2,20,5,1568.97,5,255
Chrétien,Alfred,2/13/2025,6/16/2025,123,4,19,5,1430.94,5,455
Bègue,Thibault,6/4/2025,6/16/2025,12,5,20,5,1657.43,5,555
Olivier,Dorothée,6/18/2024,6/16/2025,363,1,8,3,562.49,3,133
Duval,Jean,9/11/2024,6/16/2025,278,1,8,3,606.32,3,133
Hubert,Zoé,1/23/2025,6/16/2025,144,3,4,2,174.42,2,322
Lévy,Thibaut,9/12/2024,6/16/2025,277,2,8,3,309.26,3,233
Dupré,Ana?s,2/9/2025,6/16/2025,127,4,18,5,771.35,5,455
Aubry,Martine,5/26/2025,6/16/2025,21,5,10,3,466.04,3,533
Aubert,Marc,8/7/2024,6/16/2025,313,1,17,5,819.7,5,155
Jacques,Thibault,6/21/2024,6/16/2025,360,1,10,3,821.86,3,133
Mathieu,Antoine,2/24/2025,6/16/2025,112,4,5,2,494.01,2,422
Masse,Adrien,3/9/2025,6/16/2025,99,4,2,1,47.64,1,411
Raynaud,Diane,1/28/2025,6/16/2025,139,3,5,2,443.64,2,322
Meunier,Sébastien,2/28/2025,6/16/2025,108,4,19,5,629.14,5,455
Guichard,Dorothée,12/9/2024,6/16/2025,189,3,9,3,889.95,3,333
Turpin,Bertrand,1/30/2025,6/16/2025,137,3,15,4,1276.97,4,344
Menard,Claude,7/18/2024,6/16/2025,333,1,1,1,50,1,111
Joubert,Paulette,10/5/2024,6/16/2025,254,2,5,2,327.44,2,222
Lefort,Lucy,1/15/2025,6/16/2025,152,3,17,5,990.34,5,355
Neveu,Claudine,2/9/2025,6/16/2025,127,4,8,3,213.73,3,433
Fournier,Sylvie,6/22/2024,6/16/2025,359,1,15,4,1064.5,4,144
Gilbert,Louise,5/5/2025,6/16/2025,42,5,16,4,768.69,4,544
De Oliveira,Benjamin,5/12/2025,6/16/2025,35,5,11,3,412.91,3,533
Couturier,Caroline,6/15/2025,6/16/2025,1,5,10,3,876.18,3,533
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,"
",,,,,,
