Nom,Prenom,Date du dernier achat,date de fin,Distance date,R,Nombre d'achats (12 derniers mois),F,Montant total des achats (€),M,"RFMscore
",cluster
Joseph,Jeanne,5/11/2025,6/16/2025,36,5.0,10.0,3.0,560.5,3.0,533.0,4
Blanchet,Monique,8/23/2024,6/16/2025,297,1.0,7.0,2.0,376.51,2.0,122.0,0
Baudry,Anastasie,10/26/2024,6/16/2025,233,2.0,11.0,3.0,787.39,3.0,233.0,0
Gallet,Alphonse,9/3/2024,6/16/2025,286,1.0,18.0,5.0,1133.28,5.0,155.0,1
Valentin,Véronique,2/11/2025,6/16/2025,125,4.0,15.0,4.0,1398.51,4.0,444.0,2
Lema?tre,Aurore,11/19/2024,6/16/2025,209,2.0,10.0,3.0,262.73,3.0,233.0,0
Grondin,Honoré,6/29/2024,6/16/2025,352,1.0,20.0,5.0,1479.94,5.0,155.0,1
Rey,Alexandre,6/29/2024,6/16/2025,352,1.0,8.0,3.0,752.93,3.0,133.0,0
Hernandez,No?l,1/19/2025,6/16/2025,148,3.0,20.0,5.0,1407.26,5.0,355.0,2
Joly,élisabeth,3/29/2025,6/16/2025,79,5.0,6.0,2.0,160.26,2.0,522.0,3
Girard,Anastasie,10/29/2024,6/16/2025,230,2.0,4.0,2.0,276.83,2.0,222.0,0
Pierre,Christiane,6/10/2025,6/16/2025,6,5.0,1.0,1.0,61.78,1.0,511.0,3
Lopez,Nathalie,12/27/2024,6/16/2025,171,3.0,7.0,2.0,464.82,2.0,322.0,0
Jean,Rémy,3/18/2025,6/16/2025,90,4.0,10.0,3.0,610.88,3.0,433.0,4
Mathieu,Marcel,11/7/2024,6/16/2025,221,2.0,9.0,3.0,769.62,3.0,233.0,0
Lucas,Alice,9/21/2024,6/16/2025,268,2.0,3.0,1.0,176.68,1.0,211.0,0
Bazin,Victor,6/8/2025,6/16/2025,8,5.0,11.0,3.0,442.65,3.0,533.0,4
Fernandes,Louis,4/9/2025,6/16/2025,68,5.0,15.0,4.0,858.73,4.0,544.0,2
Colas,Lucas,3/14/2025,6/16/2025,94,4.0,15.0,4.0,318.71,4.0,444.0,2
Colin,André,12/30/2024,6/16/2025,168,3.0,19.0,5.0,479.65,5.0,355.0,2
Carre,Alex,5/7/2025,6/16/2025,40,5.0,1.0,1.0,77.97,1.0,511.0,3
Boutin,Jacqueline,4/16/2025,6/16/2025,61,5.0,12.0,4.0,626.88,4.0,544.0,2
Gilbert,Sophie,7/7/2024,6/16/2025,344,1.0,12.0,4.0,901.98,4.0,144.0,1
Laporte,Clémence,12/22/2024,6/16/2025,176,3.0,8.0,3.0,309.29,3.0,333.0,4
Dufour,Patrick,12/3/2024,6/16/2025,195,3.0,4.0,2.0,155.67,2.0,322.0,0
Gaillard,Fran?ois,7/4/2024,6/16/2025,347,1.0,18.0,5.0,1690.8,5.0,155.0,1
Martel,Claude,1/14/2025,6/16/2025,153,3.0,11.0,3.0,349.32,3.0,333.0,4
Roux,élodie,2/11/2025,6/16/2025,125,4.0,11.0,3.0,516.93,3.0,433.0,4
Leleu,Amélie,7/24/2024,6/16/2025,327,1.0,12.0,4.0,1198.34,4.0,144.0,1
Blin,Valérie,12/9/2024,6/16/2025,189,3.0,11.0,3.0,223.56,3.0,333.0,4
Cohen,Maggie,10/20/2024,6/16/2025,239,2.0,5.0,2.0,108.68,2.0,222.0,0
Lenoir,Robert,2/7/2025,6/16/2025,129,4.0,19.0,5.0,1199.02,5.0,455.0,2
Fournier,Marcel,7/19/2024,6/16/2025,332,1.0,4.0,2.0,143.33,2.0,122.0,0
Mendès,Michel,4/13/2025,6/16/2025,64,5.0,12.0,4.0,512.39,4.0,544.0,2
Fischer,Chantal,10/23/2024,6/16/2025,236,2.0,19.0,5.0,1112.87,5.0,255.0,1
Bègue,Gabrielle,8/17/2024,6/16/2025,303,1.0,7.0,2.0,241.75,2.0,122.0,0
Hamel,Alain,2/16/2025,6/16/2025,120,4.0,9.0,3.0,373.11,3.0,433.0,4
Ferrand,Pauline,3/14/2025,6/16/2025,94,4.0,20.0,5.0,403.45,5.0,455.0,2
Meyer,Louis,7/14/2024,6/16/2025,337,1.0,9.0,3.0,576.07,3.0,133.0,0
Merle,Andrée,10/13/2024,6/16/2025,246,2.0,12.0,4.0,477.2,4.0,244.0,1
Garnier,Ana?s,10/28/2024,6/16/2025,231,2.0,8.0,3.0,200.85,3.0,233.0,0
Lagarde,Thibault,10/22/2024,6/16/2025,237,2.0,10.0,3.0,800.73,3.0,233.0,0
Schneider,Marine,3/12/2025,6/16/2025,96,4.0,10.0,3.0,446.26,3.0,433.0,4
Rousseau,Dorothée,11/25/2024,6/16/2025,203,3.0,3.0,1.0,195.71,1.0,311.0,3
Lebreton,Bernard,10/21/2024,6/16/2025,238,2.0,12.0,4.0,1078.15,4.0,244.0,1
Riou,Raymond,12/2/2024,6/16/2025,196,3.0,5.0,2.0,302.68,2.0,322.0,0
Couturier,Fran?ois,4/7/2025,6/16/2025,70,5.0,18.0,5.0,788.88,5.0,555.0,2
Gallet,Sabine,3/11/2025,6/16/2025,97,4.0,4.0,2.0,243.79,2.0,422.0,3
Le Goff,Marianne,8/7/2024,6/16/2025,313,1.0,4.0,2.0,146.98,2.0,122.0,0
Joubert,Bernard,12/13/2024,6/16/2025,185,3.0,13.0,4.0,277.22,4.0,344.0,2
Blin,Bernard,1/19/2025,6/16/2025,148,3.0,18.0,5.0,790.37,5.0,355.0,2
Teixeira,Susan,3/30/2025,6/16/2025,78,5.0,4.0,2.0,156.63,2.0,522.0,3
Marion,Matthieu,11/3/2024,6/16/2025,225,2.0,3.0,1.0,96.86,1.0,211.0,0
Legrand,Olivier,11/1/2024,6/16/2025,227,2.0,12.0,4.0,609.11,4.0,244.0,1
Le Gall,Sophie,6/25/2024,6/16/2025,356,1.0,16.0,4.0,1575.53,4.0,144.0,1
Laurent,Denis,8/24/2024,6/16/2025,296,1.0,5.0,2.0,456.95,2.0,122.0,0
Andre,Sylvie,7/7/2024,6/16/2025,344,1.0,7.0,2.0,542.05,2.0,122.0,0
Legendre,Gilles,10/8/2024,6/16/2025,251,2.0,6.0,2.0,142.58,2.0,222.0,0
Olivier,Théophile,8/9/2024,6/16/2025,311,1.0,12.0,4.0,622.54,4.0,144.0,1
Potier,Patricia,3/1/2025,6/16/2025,107,4.0,11.0,3.0,642.26,3.0,433.0,4
Chevalier,No?l,5/25/2025,6/16/2025,22,5.0,2.0,1.0,70.98,1.0,511.0,3
Guillet,Sylvie,5/21/2025,6/16/2025,26,5.0,18.0,5.0,470.05,5.0,555.0,2
Le Roux,Aimée,11/28/2024,6/16/2025,200,3.0,20.0,5.0,1629.51,5.0,355.0,2
Lebreton,Marie,6/3/2025,6/16/2025,13,5.0,18.0,5.0,1652.84,5.0,555.0,2
Garcia,Bernadette,1/21/2025,6/16/2025,146,3.0,2.0,1.0,72.05,1.0,311.0,3
Camus,Alain,3/20/2025,6/16/2025,88,4.0,20.0,5.0,508.47,5.0,455.0,2
Wagner,Xavier,3/1/2025,6/16/2025,107,4.0,18.0,5.0,430.35,5.0,455.0,2
Berger,Pauline,2/25/2025,6/16/2025,111,4.0,11.0,3.0,533.79,3.0,433.0,4
Chauvet,éléonore,11/17/2024,6/16/2025,211,2.0,2.0,1.0,40.19,1.0,211.0,0
Benard,Clémence,10/18/2024,6/16/2025,241,2.0,6.0,2.0,277.62,2.0,222.0,0
Legendre,Charles,2/15/2025,6/16/2025,121,4.0,9.0,3.0,763.91,3.0,433.0,4
Nicolas,Nathalie,9/9/2024,6/16/2025,280,1.0,2.0,1.0,196.47,1.0,111.0,0
Lecoq,édouard,3/25/2025,6/16/2025,83,4.0,10.0,3.0,544.52,3.0,433.0,4
Bègue,Frédéric,1/4/2025,6/16/2025,163,3.0,17.0,5.0,1663.4,5.0,355.0,2
Pereira,Laurent,2/11/2025,6/16/2025,125,4.0,19.0,5.0,1677.82,5.0,455.0,2
Lopez,Tristan,6/17/2024,6/16/2025,364,1.0,18.0,5.0,1719.82,5.0,155.0,1
Voisin,Jér?me,9/13/2024,6/16/2025,276,2.0,8.0,3.0,501.18,3.0,233.0,0
Joseph,Célina,2/8/2025,6/16/2025,128,4.0,16.0,4.0,1277.29,4.0,444.0,2
Lopez,William,6/3/2025,6/16/2025,13,5.0,11.0,3.0,418.91,3.0,533.0,4
Masse,Stéphane,3/16/2025,6/16/2025,92,4.0,7.0,2.0,272.91,2.0,422.0,3
Munoz,Marcel,12/13/2024,6/16/2025,185,3.0,17.0,5.0,1020.8,5.0,355.0,2
Texier,Victoire,9/24/2024,6/16/2025,265,2.0,15.0,4.0,939.07,4.0,244.0,1
Duhamel,Claudine,9/12/2024,6/16/2025,277,2.0,18.0,5.0,1547.79,5.0,255.0,1
Hardy,Agnès,7/11/2024,6/16/2025,340,1.0,8.0,3.0,347.37,3.0,133.0,0
Clerc,Jeannine,8/1/2024,6/16/2025,319,1.0,14.0,4.0,1394.83,4.0,144.0,1
Garnier,Agathe,5/24/2025,6/16/2025,23,5.0,19.0,5.0,568.22,5.0,555.0,2
Berthelot,William,6/4/2025,6/16/2025,12,5.0,19.0,5.0,1236.98,5.0,555.0,2
Alexandre,Agnès,2/20/2025,6/16/2025,116,4.0,5.0,2.0,469.05,2.0,422.0,3
Martin,Mathilde,6/24/2024,6/16/2025,357,1.0,18.0,5.0,384.16,5.0,155.0,1
Bruneau,Richard,11/24/2024,6/16/2025,204,3.0,10.0,3.0,265.64,3.0,333.0,4
Pereira,Guy,12/1/2024,6/16/2025,197,3.0,8.0,3.0,531.97,3.0,333.0,4
Dubois,Daniel,12/31/2024,6/16/2025,167,3.0,10.0,3.0,704.05,3.0,333.0,4
Gaillard,Agnès,12/19/2024,6/16/2025,179,3.0,13.0,4.0,677.35,4.0,344.0,2
Munoz,Lucas,4/8/2025,6/16/2025,69,5.0,15.0,4.0,1366.21,4.0,544.0,2
Hervé,Maurice,9/21/2024,6/16/2025,268,2.0,20.0,5.0,1568.97,5.0,255.0,1
Chrétien,Alfred,2/13/2025,6/16/2025,123,4.0,19.0,5.0,1430.94,5.0,455.0,2
Bègue,Thibault,6/4/2025,6/16/2025,12,5.0,20.0,5.0,1657.43,5.0,555.0,2
Olivier,Dorothée,6/18/2024,6/16/2025,363,1.0,8.0,3.0,562.49,3.0,133.0,0
Duval,Jean,9/11/2024,6/16/2025,278,1.0,8.0,3.0,606.32,3.0,133.0,0
Hubert,Zoé,1/23/2025,6/16/2025,144,3.0,4.0,2.0,174.42,2.0,322.0,0
Lévy,Thibaut,9/12/2024,6/16/2025,277,2.0,8.0,3.0,309.26,3.0,233.0,0
Dupré,Ana?s,2/9/2025,6/16/2025,127,4.0,18.0,5.0,771.35,5.0,455.0,2
Aubry,Martine,5/26/2025,6/16/2025,21,5.0,10.0,3.0,466.04,3.0,533.0,4
Aubert,Marc,8/7/2024,6/16/2025,313,1.0,17.0,5.0,819.7,5.0,155.0,1
Jacques,Thibault,6/21/2024,6/16/2025,360,1.0,10.0,3.0,821.86,3.0,133.0,0
Mathieu,Antoine,2/24/2025,6/16/2025,112,4.0,5.0,2.0,494.01,2.0,422.0,3
Masse,Adrien,3/9/2025,6/16/2025,99,4.0,2.0,1.0,47.64,1.0,411.0,3
Raynaud,Diane,1/28/2025,6/16/2025,139,3.0,5.0,2.0,443.64,2.0,322.0,0
Meunier,Sébastien,2/28/2025,6/16/2025,108,4.0,19.0,5.0,629.14,5.0,455.0,2
Guichard,Dorothée,12/9/2024,6/16/2025,189,3.0,9.0,3.0,889.95,3.0,333.0,4
Turpin,Bertrand,1/30/2025,6/16/2025,137,3.0,15.0,4.0,1276.97,4.0,344.0,2
Menard,Claude,7/18/2024,6/16/2025,333,1.0,1.0,1.0,50.0,1.0,111.0,0
Joubert,Paulette,10/5/2024,6/16/2025,254,2.0,5.0,2.0,327.44,2.0,222.0,0
Lefort,Lucy,1/15/2025,6/16/2025,152,3.0,17.0,5.0,990.34,5.0,355.0,2
Neveu,Claudine,2/9/2025,6/16/2025,127,4.0,8.0,3.0,213.73,3.0,433.0,4
Fournier,Sylvie,6/22/2024,6/16/2025,359,1.0,15.0,4.0,1064.5,4.0,144.0,1
Gilbert,Louise,5/5/2025,6/16/2025,42,5.0,16.0,4.0,768.69,4.0,544.0,2
De Oliveira,Benjamin,5/12/2025,6/16/2025,35,5.0,11.0,3.0,412.91,3.0,533.0,4
Couturier,Caroline,6/15/2025,6/16/2025,1,5.0,10.0,3.0,876.18,3.0,533.0,4
